"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for May 2021"
"Prepared at 16:02 UTC on Tuesday  7 December 2021   IDCJDW5081.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,16.8,29.0,0,,,NNW,41,15:39,23.2,33,,NNE,15,1020.6,28.1,23,,NNW,20,1017.1
,2021-05-2,13.6,21.1,0,,,WSW,26,12:03,17.0,76,,NNW,7,1021.8,20.8,52,,WNW,9,1020.3
,2021-05-3,10.7,20.3,0,,,SW,35,15:16,14.4,77,, ,Calm,1023.3,18.6,60,,SW,17,1022.1
,2021-05-4,8.9,17.6,0,,,SSW,39,12:56,13.8,58,,SSW,7,1027.2,16.2,38,,SSE,17,1024.9
,2021-05-5,7.2,19.6,0,,,SW,19,14:30,13.4,55,, ,Calm,1025.9,18.3,45,,WSW,13,1022.4
,2021-05-6,8.7,21.9,0,,,NE,22,21:37,15.1,55,,NE,9,1020.6,20.6,34,,N,6,1016.4
,2021-05-7,14.8,22.4,0,,,NE,22,00:49,16.4,43,,NE,11,1014.8,21.5,38,,NNW,6,1012.7
,2021-05-8,11.8,19.6,0,,,SW,30,11:50,16.2,74,,NNE,7,1016.0,17.0,81,, ,Calm,1015.5
,2021-05-9,12.1,19.3,2.0,,,WNW,30,12:36,13.8,92,,N,9,1020.0,18.3,62,,WNW,13,1016.9
,2021-05-10,12.5,17.1,7.0,,,SW,54,11:09,15.5,66,,SW,24,1014.0,15.7,67,,SW,20,1016.3
,2021-05-11,10.5,16.6,0.8,,,ESE,31,12:36,13.3,73,,S,9,1025.3,13.7,63,,SE,20,1024.5
,2021-05-12,5.1,17.2,0,,,WSW,24,14:58,10.9,72,,NNE,4,1025.1,15.1,57,,W,15,1020.6
,2021-05-13,9.1,16.5,0,,,SW,39,13:25,11.8,77,,N,11,1017.0,15.4,61,,SW,17,1018.0
,2021-05-14,11.0,17.0,9.8,,,WSW,39,03:20,15.0,60,,SW,17,1021.6,15.1,70,,SW,17,1021.1
,2021-05-15,11.5,16.6,2.2,,,SSW,30,09:28,13.7,60,,S,11,1025.8,15.9,54,,SW,13,1025.4
,2021-05-16,11.8,17.6,0,,,W,28,12:40,13.7,65,, ,Calm,1027.5,16.1,59,,WSW,13,1025.7
,2021-05-17,12.7,18.0,0,,,WSW,24,12:21,14.8,58,, ,Calm,1029.4,16.0,56,,WSW,11,1028.3
,2021-05-18,6.7,19.0,0,,,NW,26,12:20,12.4,67,,NNE,6,1029.4,18.4,41,,WNW,9,1026.0
,2021-05-19,10.6,19.9,0,,,NNW,35,12:18,13.9,46,,NNE,11,1026.5,18.6,38,,NNW,19,1023.4
,2021-05-20,12.8,21.9,0,,,NE,19,03:15,16.0,43,,NNE,6,1027.2,18.9,42,,SW,7,1026.3
,2021-05-21,7.6,24.9,0,,,NNW,20,13:16,15.1,56,, ,Calm,1028.8,24.6,18,,NNW,9,1024.8
,2021-05-22,14.1,23.7,0,,,NE,20,07:46,16.2,35,,NE,11,1024.3,23.2,17,,NNW,9,1020.9
,2021-05-23,13.0,24.8,0,,,NNE,30,10:44,18.1,36,,NE,13,1022.3,24.5,22,,N,13,1018.7
,2021-05-24,18.1,25.4,0,,,NNE,43,20:38,20.2,36,,NNE,19,1018.1,23.3,30,,NE,15,1013.4
,2021-05-25,13.3,17.2,13.8,,,WSW,65,14:01,13.8,90,,N,11,1010.9,13.5,74,,WNW,20,1011.8
,2021-05-26,11.4,16.7,1.0,,,SW,41,04:28,14.5,52,,SSW,19,1024.2,16.0,57,,WSW,17,1025.6
,2021-05-27,9.5,17.9,1.4,,,WSW,30,13:08,12.8,84,,N,4,1032.4,17.3,65,,SW,13,1031.6
,2021-05-28,8.7,17.4,0,,,ESE,20,08:30,13.7,78,,ESE,11,1034.6,16.6,64,,WSW,6,1032.3
,2021-05-29,6.4,16.8,0,,,WSW,17,15:13,10.8,65,,NNE,6,1033.8,15.2,54,,W,7,1029.6
,2021-05-30,3.5,17.7,0,,,NNE,22,12:21,11.3,56,,N,9,1027.3,16.7,40,,NW,11,1024.5
,2021-05-31,7.4,15.9,0,,,NE,26,23:54,11.9,31,,NE,13,1022.3,15.5,30,,NE,9,1018.3
