"Daily Weather Observations for Brisbane, Queensland for August 2020"
"Prepared at 06:26 UTC on Sunday 23 August 2020   IDCJDW4019.202008"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Brisbane City, but some from Brisbane Airport."
"Brisbane Airport is located about 12 kilometres north east of the Brisbane City site, and closer to the coast. The evaporation, sunshine and cloud values should be used as a guide only."
"Temperature, humidity, wind, pressure and rainfall observations are from Brisbane {station 040913}"
"Cloud, evaporation and sunshine observations are from Brisbane Aero {station 040842}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-08-1,11.9,22.7,0,,8.8,ENE,22,13:48,16.0,67,6,SW,6,1026.3,21.4,51,1,E,7,1022.3
,2020-08-2,10.2,24.1,0,,10.1,E,15,16:51,15.1,72,1,SW,4,1026.1,23.2,38,1,NE,6,1021.4
,2020-08-3,11.6,22.8,0,,6.5,SE,17,11:53,16.2,74,7,SSW,4,1022.3,20.7,47,6,NE,6,1017.9
,2020-08-4,11.9,23.9,0,,6.1,NNW,19,22:42,15.7,73,6,SW,4,1017.8,23.7,28,3,NW,6,1012.7
,2020-08-5,10.3,25.1,0,,10.2,NE,15,14:34,15.7,60,0,WSW,4,1016.0,23.4,51,1,NNE,7,1012.3
,2020-08-6,9.8,25.9,0,,10.2,ENE,17,15:24,15.7,52,1,SW,4,1018.7,24.4,23,1,NE,6,1015.4
,2020-08-7,14.8,23.2,0,,3.8,ENE,41,12:26,20.8,72,5,E,4,1018.6,17.6,86,8,NE,2,1013.4
,2020-08-8,14.7,24.1,11.6,,8.3,WSW,28,23:43,19.0,75,4,WNW,2,1015.2,22.4,53,3,W,7,1011.1
,2020-08-9,9.8,19.6,0,,10.3,W,37,12:04,14.9,53,1,SW,4,1015.0,18.7,33,2,WSW,13,1011.3
,2020-08-10,9.8,18.8,0,,9.4,W,41,11:40,15.2,54,3,W,13,1012.4,17.4,43,1,W,17,1010.9
,2020-08-11,11.0,22.8,0,,10.3,SSW,17,11:29,17.9,53,1,SW,6,1018.8,21.0,49,2,ENE,6,1016.1
,2020-08-12,10.9,22.8,0,,10.1,NE,19,17:29,17.7,68,7,W,4,1020.9,21.1,58,2,NNE,7,1015.9
,2020-08-13,12.4,25.2,0,,10.1,NNE,20,16:07,18.4,74,1,NW,2,1018.0,22.9,59,1,ENE,9,1013.5
,2020-08-14,14.3,23.6,0,,7.9,NE,26,16:30,19.2,81,7, ,Calm,1016.8,23.0,69,1,NNE,9,1012.9
,2020-08-15,16.9,24.3,1.4,,4.4,W,44,12:32,18.6,82,6,NNW,4,1013.3,20.9,69,6,NW,4,1009.2
,2020-08-16,12.1,22.6,6.4,,10.7,WNW,41,13:45,17.4,57,1,W,9,1013.4,21.8,32,2,W,17,1009.5
,2020-08-17,10.3,22.1,0,,10.8,WNW,31,11:17,16.9,45,1,SW,9,1013.5,21.5,27,0,W,15,1009.1
,2020-08-18,8.0,24.6,0,,8.8,NNE,19,15:35,17.6,42,1,SW,2,1012.5,20.3,42,6,N,6,1007.5
,2020-08-19,11.9,27.0,0,,9.9,W,44,12:06,22.5,36,1,W,15,1006.2,26.0,18,3,WNW,15,1002.0
,2020-08-20,13.3,,0,,10.5,W,44,13:41,18.6,31,1,WSW,15,1009.6,22.4,25,0,W,17,1007.1
,2020-08-21,,23.3,,,9.2,,,,18.6,35,2,WSW,6,1014.9,22.6,24,4,W,19,1010.3
,2020-08-22,15.6,22.5,0,,8.2,W,52,11:32,18.6,32,4,W,13,1012.7,21.6,25,1,W,26,1008.3
,2020-08-23,10.5,,0,,,,,,14.7,33,1,W,19,1015.9,20.9,19,1,WSW,13,1013.0
