"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for April 2021"
"Prepared at 13:02 UTC on Wednesday  8 December 2021   IDCJDW5081.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"The official site for Adelaide, having reopened in May 2017."
"This is the "official" site for Adelaide, having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020."
"Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,13.9,32.3,0,,,E,22,22:43,20.8,40,,NNE,6,1022.8,30.8,14,,WSW,9,1021.1
,2021-04-2,15.4,33.4,0,,,WSW,24,14:27,21.0,42,, ,Calm,1023.8,32.7,14,,WSW,15,1020.4
,2021-04-3,17.3,33.7,0,,,NW,26,11:24,24.1,31,,NE,13,1020.9,33.3,15,,W,15,1018.1
,2021-04-4,15.8,29.9,0,,,WSW,24,14:47,25.5,32,, ,Calm,1019.6,28.5,31,,SW,15,1017.7
,2021-04-5,12.9,25.7,0,,,SW,26,14:42,20.0,58,,SSE,4,1022.0,24.7,43,,WSW,15,1019.5
,2021-04-6,11.1,28.3,0,,,W,28,14:14,20.3,49,,SW,2,1022.0,26.8,30,,WSW,13,1018.7
,2021-04-7,11.4,,0,,,,,,20.5,48,, ,Calm,1018.9,24.9,44,,WSW,15,1015.0
,2021-04-8,13.0,32.5,,,,WSW,33,15:37,21.9,31,,NE,7,1010.7,32.4,17,,WNW,11,1006.6
,2021-04-9,14.2,22.4,0.6,,,SW,39,14:27,17.3,55,,S,11,1014.3,20.1,44,,SW,22,1012.1
,2021-04-10,14.0,19.6,0.6,,,SSW,50,17:39,16.3,65,,S,17,1015.8,18.6,41,,SSW,24,1016.3
,2021-04-11,12.0,19.3,0.8,,,S,35,10:20,15.6,49,,S,15,1023.9,16.8,48,,S,17,1023.7
,2021-04-12,7.8,21.4,0,,,NNE,33,23:47,14.3,55,,NNE,9,1024.9,21.0,30,,NNE,13,1019.4
,2021-04-13,14.3,23.5,0,,,NNW,46,13:03,18.9,29,,NNE,20,1012.3,22.4,24,,N,19,1008.8
,2021-04-14,15.3,21.0,1.2,,,W,43,12:35,18.1,66,,WSW,17,1017.2,19.7,42,,SW,24,1017.1
,2021-04-15,13.7,20.6,3.2,,,WSW,33,08:59,17.2,70,,WSW,17,1020.6,19.5,58,,WSW,17,1019.7
,2021-04-16,9.0,20.1,0,,,WSW,26,15:56,15.9,73,,NNE,7,1026.2,19.4,58,,WSW,13,1024.5
,2021-04-17,10.2,19.6,0,,,WNW,30,12:14,15.8,57,,SSW,9,1029.1,18.5,47,,SW,15,1026.8
,2021-04-18,13.8,20.2,0,,,NW,20,11:37,14.9,82,,NNE,9,1026.4,18.6,55,,SSE,9,1023.3
,2021-04-19,12.2,20.5,1.2,,,NNW,30,16:10,13.5,87,,ENE,15,1020.0,20.2,45,,WNW,17,1015.8
,2021-04-20,11.0,18.4,0.2,,,SSW,37,13:27,14.4,80,,N,9,1014.1,16.1,51,,SSW,17,1016.6
,2021-04-21,6.4,17.1,2.8,,,W,30,23:02,10.1,66,,N,11,1021.1,15.8,47,,W,13,1017.6
,2021-04-22,10.1,19.4,2.2,,,SW,37,12:28,15.4,78,,SW,6,1018.1,17.8,51,,SW,17,1017.7
,2021-04-23,12.8,18.7,4.0,,,SW,24,10:56,15.8,80,,SE,6,1022.2,18.4,53,,WSW,11,1021.4
,2021-04-24,11.9,20.0,0,,,SW,24,12:40,14.7,77,,N,9,1026.9,18.8,57,,WSW,13,1025.3
,2021-04-25,8.6,20.2,0,,,WSW,24,13:01,16.0,68,,N,6,1029.0,19.0,59,,SW,15,1027.3
,2021-04-26,7.9,20.5,0,,,WSW,22,14:03,15.4,72,,NE,4,1029.1,19.8,53,,SW,11,1026.8
,2021-04-27,8.3,21.2,0,,,SW,20,16:05,15.8,62,,ENE,6,1028.0,20.7,49,,N,2,1024.6
,2021-04-28,8.2,20.7,0,,,WSW,28,13:06,15.4,72,, ,Calm,1025.9,20.0,63,,SW,15,1023.4
,2021-04-29,8.0,22.7,0,,,WSW,20,13:31,15.6,61,, ,Calm,1024.9,21.2,44,,WSW,13,1022.0
,2021-04-30,9.6,26.8,0,,,ENE,28,07:11,19.8,40,,NE,11,1023.3,26.2,21,,W,9,1020.1
